serogroup Results
Accession,query,sseqid,pident,length,mismatch,gapopen,qstart,qend,sstart,send,evalue,bitscore,
ERR018113,contig00012,O1,100.000,555,0,0,3332,3886,1,555,0.0,1026,
ERR018115,contig00020,O1,100.000,555,0,0,6504,7058,1,555,0.0,1026,
ERR019290,contig00109,O1,100.000,555,0,0,1598,2152,555,1,0.0,1026,
ERR019296,contig00112,O1,100.000,555,0,0,1597,2151,555,1,0.0,1026,
ERR019297,contig00016,O1,100.000,555,0,0,6490,7044,1,555,0.0,1026,
ERR025356,contig00007,O1,100.000,555,0,0,77643,78197,1,555,0.0,1026,
ERR025357,contig00005,O1,100.000,555,0,0,99312,99866,1,555,0.0,1026,
ERR025358,contig00004,O1,100.000,555,0,0,99312,99866,1,555,0.0,1026,
ERR025359,contig00007,O1,100.000,555,0,0,99312,99866,1,555,0.0,1026,
ERR025360,contig00005,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR025361,contig00007,O1,100.000,555,0,0,77644,78198,1,555,0.0,1026,
ERR025362,contig00005,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR025364,contig00006,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR025366,contig00005,O1,100.000,555,0,0,99312,99866,1,555,0.0,1026,
ERR025367,contig00025,O1,100.000,555,0,0,6490,7044,1,555,0.0,1026,
ERR025368,contig00006,O1,100.000,555,0,0,99312,99866,1,555,0.0,1026,
ERR025369,contig00072,O1,100.000,555,0,0,496,1050,555,1,0.0,1026,
ERR025370,contig00005,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR025371,contig00005,O1,100.000,555,0,0,99312,99866,1,555,0.0,1026,
ERR025372,contig00005,O1,100.000,555,0,0,99312,99866,1,555,0.0,1026,
ERR025373,contig00010,O1,100.000,555,0,0,77643,78197,1,555,0.0,1026,
ERR025374,contig00005,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR025375,contig00004,O1,100.000,555,0,0,99312,99866,1,555,0.0,1026,
ERR025377,contig00006,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR025378,contig00027,O1,100.000,555,0,0,6489,7043,1,555,0.0,1026,
ERR025380,contig00009,O1,100.000,555,0,0,48606,49160,1,555,0.0,1026,
ERR025381,contig00029,O1,100.000,555,0,0,6490,7044,1,555,0.0,1026,
ERR025382,contig00006,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR025383,contig00010,O1,100.000,555,0,0,61200,61754,1,555,0.0,1026,
ERR025384,contig00009,O1,100.000,555,0,0,77643,78197,1,555,0.0,1026,
ERR025385,contig00025,O1,100.000,555,0,0,4818,5372,1,555,0.0,1026,
ERR025388,contig00028,O1,100.000,555,0,0,6489,7043,1,555,0.0,1026,
ERR025389,contig00028,O1,100.000,555,0,0,6489,7043,1,555,0.0,1026,
ERR025390,contig00006,O1,100.000,555,0,0,78108,78662,1,555,0.0,1026,
ERR025396,contig00005,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR028074,contig00027,O1,100.000,555,0,0,6528,7082,1,555,0.0,1026,
ERR028076,contig00016,O1,100.000,555,0,0,6532,7086,1,555,0.0,1026,
ERR037738,contig00010,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR037739,contig00016,O1,100.000,555,0,0,44268,44822,1,555,0.0,1026,
ERR037741,contig00014,O1,100.000,555,0,0,70575,71129,1,555,0.0,1026,
ERR042729,contig00016,O1,100.000,555,0,0,44267,44821,1,555,0.0,1026,
ERR042733,contig00007,O1,100.000,555,0,0,110660,111214,1,555,0.0,1026,
ERR042738,contig00016,O1,100.000,555,0,0,44267,44821,1,555,0.0,1026,
ERR042745,contig00015,O1,100.000,555,0,0,44267,44821,1,555,0.0,1026,
ERR042748,contig00025,O1,100.000,555,0,0,44267,44821,1,555,0.0,1026,
ERR042749,contig00014,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR042754,contig00012,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR044779,contig00010,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR044781,contig00012,O1,100.000,555,0,0,77643,78197,1,555,0.0,1026,
ERR044783,contig00009,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR044785,contig00013,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR044786,contig00010,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR044791,contig00010,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR044795,contig00014,O1,100.000,555,0,0,77642,78196,1,555,0.0,1026,
ERR044798,contig00010,O1,100.000,555,0,0,99309,99863,1,555,0.0,1026,
ERR044799,contig00012,O1,100.000,555,0,0,99312,99866,1,555,0.0,1026,
ERR044800,contig00012,O1,100.000,555,0,0,99312,99866,1,555,0.0,1026,
ERR1024518,contig00017,O1,100.000,555,0,0,6490,7044,1,555,0.0,1026,
ERR1024521,contig00017,O1,100.000,555,0,0,6490,7044,1,555,0.0,1026,
ERR1024524,contig00017,O1,100.000,555,0,0,6490,7044,1,555,0.0,1026,
ERR1024526,contig00017,O1,100.000,555,0,0,6490,7044,1,555,0.0,1026,
ERR108516,contig00010,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR108517,contig00011,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR108518,contig00012,O1,100.000,555,0,0,62969,63523,1,555,0.0,1026,
ERR108522,contig00012,O1,100.000,555,0,0,62949,63503,1,555,0.0,1026,
ERR108537,contig00013,O1,100.000,555,0,0,78108,78662,1,555,0.0,1026,
ERR114415,contig00011,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR114416,contig00010,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR114418,contig00010,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR117473,contig00008,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR117480,contig00024,O1,100.000,555,0,0,6490,7044,1,555,0.0,1026,
ERR117482,contig00009,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR117484,contig00011,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR117485,contig00021,O1,100.000,555,0,0,6490,7044,1,555,0.0,1026,
ERR117490,contig00006,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR117555,contig00023,O1,100.000,555,0,0,6490,7044,1,555,0.0,1026,
ERR117556,contig00011,O1,100.000,555,0,0,99310,99864,1,555,0.0,1026,
ERR117569,contig00010,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR117571,contig00009,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR117572,contig00023,O1,100.000,555,0,0,6490,7044,1,555,0.0,1026,
ERR117573,contig00009,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR117577,contig00021,O1,100.000,555,0,0,6490,7044,1,555,0.0,1026,
ERR117578,contig00007,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR117579,contig00008,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR117581,contig00009,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR117583,contig00011,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR117586,contig00021,O1,100.000,555,0,0,6490,7044,1,555,0.0,1026,
ERR117588,contig00010,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR117590,contig00009,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR117592,contig00010,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR117593,contig00024,O1,100.000,555,0,0,6490,7044,1,555,0.0,1026,
ERR117594,contig00023,O1,100.000,555,0,0,6490,7044,1,555,0.0,1026,
ERR117595,contig00010,O1,100.000,555,0,0,99375,99929,1,555,0.0,1026,
ERR117597,contig00009,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR117599,contig00004,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR117600,contig00009,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR117604,contig00010,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR117605,contig00010,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR117606,contig00022,O1,100.000,555,0,0,6490,7044,1,555,0.0,1026,
ERR117607,contig00010,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR117609,contig00026,O1,100.000,555,0,0,6490,7044,1,555,0.0,1026,
ERR117610,contig00008,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR117613,contig00009,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1485197,contig00010,O1,100.000,555,0,0,99310,99864,1,555,0.0,1026,
ERR1485199,contig00010,O1,100.000,555,0,0,99310,99864,1,555,0.0,1026,
ERR1485201,contig00012,O1,100.000,555,0,0,66405,66959,1,555,0.0,1026,
ERR1485203,contig00014,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1485205,contig00012,O1,100.000,555,0,0,66405,66959,1,555,0.0,1026,
ERR1485207,contig00011,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1485209,contig00011,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1485211,contig00009,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1485213,contig00013,O1,100.000,555,0,0,77643,78197,1,555,0.0,1026,
ERR1485215,contig00012,O1,100.000,555,0,0,77643,78197,1,555,0.0,1026,
ERR1485219,contig00011,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1485225,contig00008,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1485227,contig00009,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1485229,contig00009,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1485231,contig00008,O1,100.000,555,0,0,99310,99864,1,555,0.0,1026,
ERR1485233,contig00009,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1485235,contig00008,O1,100.000,555,0,0,99312,99866,1,555,0.0,1026,
ERR1485237,contig00009,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1485239,contig00008,O1,100.000,555,0,0,99312,99866,1,555,0.0,1026,
ERR1485241,contig00008,O1,100.000,555,0,0,99311,99865,1,555,0.0,1026,
ERR1485245,contig00011,O1,100.000,555,0,0,99312,99866,1,555,0.0,1026,
ERR1485247,contig00011,O1,100.000,555,0,0,99312,99866,1,555,0.0,1026,
ERR1485249,contig00010,O1,100.000,555,0,0,99312,99866,1,555,0.0,1026,
ERR1485253,contig00011,O1,100.000,555,0,0,99312,99866,1,555,0.0,1026,
ERR1485255,contig00011,O1,100.000,555,0,0,77644,78198,1,555,0.0,1026,
ERR1485257,contig00011,O1,100.000,555,0,0,99312,99866,1,555,0.0,1026,
ERR1485259,contig00012,O1,100.000,555,0,0,99312,99866,1,555,0.0,1026,
ERR1485261,contig00012,O1,100.000,555,0,0,99312,99866,1,555,0.0,1026,
ERR1485307,contig00010,O1,100.000,555,0,0,110945,111499,1,555,0.0,1026,
